
==============================================================================
Chorale: bwv253  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t1_r1.5_s0_md33_sn0_lm19                     19   58.3    140    128     17.8       74.3
  t1_r1.25_s0_md33_sn0_lm17                    17   57.5    140    128     18.8       74.4
  t1_r1.125_lm19_tmp3.0                        19   57.8    140    128     18.6       74.5
  t1_r1.75_s0_md33_sn0_lm17                    17   57.9    140    128     18.7       74.7
  t1_r1.25_lm17_tmp3.0                         17   57.8    140    128     18.9       74.8
  t1_r1.625_s0_md33_sn0_lm17                   17   57.5    140    128     19.4       74.9
  t1_r1.5_s0_md33_sn0_lm17                     17   57.5    140    128     19.4       75.0
  t1_r1.375_lm19_tmp3.0                        19   59.4    140    128     17.4       75.0
  t1_r1.75_s0_md33_sn0_lm19                    19   58.6    145    128     18.5       75.3
  t1_r1.5_lm17_tmp3.0                          17   57.8    140    128     19.5       75.3
  t1_r1.25_lm19_tmp3.0                         19   58.2    140    128     19.5       75.8
  t1_r1.375_s0_md33_sn0_lm19                   19   57.5    140    128     20.3       75.8
  t1_r1.625_lm17_tmp3.0                        17   59.8    140    128     18.0       75.9
  t1_r1.625_lm19_tmp3.0                        19   57.8    140    128     20.6       76.3
  t1_r1.625_s0_md33_sn0_lm19                   19   57.8    140    128     21.8       77.4
  t1_r1.5_lm19_tmp3.0                          19   61.5    160     24     19.3       78.8
  t1_r1.125_s0_md33_sn0_lm19                   19   70.5   1067     12     18.5       87.1
  t2_r1.625_s0_md33_sn0_lm19                   19   82.1   1123    128     19.1       99.2
  t2_r1.25_s0_md33_sn0_lm17                    17   81.8   1123    128     19.4       99.3
  t2_r1.375_s0_md33_sn0_lm17                   17   81.8   1123    128     19.6       99.4
  t2_r1.5_lm17_tmp3.0                          17   82.0   1123    128     19.4       99.5
  t2_r1.125_lm17_tmp3.0                        17   82.4   1123    128     19.1       99.5
  t2_r1.5_s0_md33_sn0_lm19                     19   83.8   1123    128     17.5       99.6
  t2_r1.25_lm17_tmp3.0                         17   82.4   1123    128     19.3       99.8
  t2_r1.5_s0_md33_sn0_lm17                     17   81.8   1123    128     20.3      100.1
  t2_r1.75_s0_md33_sn0_lm17                    17   81.9   1123    128     20.3      100.1
  t2_r1.5_lm19_tmp3.0                          19   82.3   1123    128     20.0      100.3
  t2_r1.25_lm19_tmp3.0                         19   82.4   1123    128     20.0      100.4
  t2_r1.375_lm17_tmp3.0                        17   82.1   1123    128     20.3      100.4
  t2_r1.125_lm19_tmp3.0                        19   82.4   1123    128     20.1      100.5
  t2_r1.625_lm17_tmp3.0                        17   82.4   1123    128     20.2      100.5
  t2_r1.125_s0_md33_sn0_lm17                   17   82.0   1123    128     20.9      100.8
  t2_r1.25_s0_md33_sn0_lm19                    19   84.6   1123    128     19.6      102.2
  t2_r1.75_s0_md33_sn0_lm19                    19   95.3   1123    128     17.7      111.2
  t2_r1.75_s0_md33_sn0_lm23                    23   96.8   1123    128     18.2      113.2
  t2_r1.375_lm19_tmp3.0                        19  108.7   1133     24     20.0      126.7
  t2_r1.625_s0_md33_sn0_lm17                   17  119.5   3113     10     19.9      137.4
