
==============================================================================
Chorale: bwv253  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t2_r1.5_lm19_tmp3.0                          19   82.3   1123    128     25.2      105.0
  t2_r1.25_s0_md33_sn0_lm19                    19   84.6   1123    128     22.8      105.2
  t2_r1.125_lm17_tmp3.0                        17   82.4   1123    128     25.8      105.6
  t2_r1.75_s0_md33_sn0_lm23                    23   96.8   1123    128     17.7      112.8
  t2_r1.75_s0_md33_sn0_lm19                    19   95.3   1123    128     25.9      118.6
  t2_r1.375_lm19_tmp3.0                        19  108.7   1133     24     22.0      128.5
  t2_r1.625_s0_md33_sn0_lm17                   17  119.5   3113     10     25.3      142.3
  t2_r1.125_s0_md33_sn0_lm19                   19  132.1   4049     16     22.2      152.0
  t2_r1.375_s0_md33_sn0_lm19                   19  132.3   4047     96     24.1      154.0
  t2_r1.625_lm19_tmp3.0                        19  158.4   3119     24     25.1      181.0

  Winner: t1_r1.375_s0_md33_sn0_lm17
    mean=57.0, max=140 at chord 128, spread=19.1, combined=74.2

==============================================================================
Chorale: bwv258  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.125_s0_md33_sn0_lm19                   19   58.6    140     80     15.6       72.7 <-- BEST
  t1_r1.375_s0_md33_sn0_lm17                   17   57.8    140     80     16.7       72.8
  t1_r1.25_s0_md33_sn0_lm17                    17   58.3    140     80     16.8       73.4
  t1_r1.5_lm19_tmp3.0                          19   57.7    140     80     17.7       73.7
  t1_r1.125_lm17_tmp3.0                        17   58.6    140     80     16.9       73.9
  t1_r1.5_s0_md33_sn0_lm19                     19   59.8    140     80     16.1       74.3
  t1_r1.75_s0_md33_sn0_lm17                    17   57.8    140     80     18.4       74.3
  t1_r1.25_s0_md33_sn0_lm19                    19   59.0    140     80     17.2       74.4
  t1_r1.75_s0_md33_sn0_lm19                    19   57.9    145     80     18.7       74.7
